v,F
0.848703969,1010.576325
2.032874281,2197.891322
3.015752019,3356.936914
5.180998426,5781.038365
6.769064172,6968.353362
7.749703506,8223.986087
8.933000294,9448.993623
10.11815332,10593.90451
11.30232363,11781.21951
12.4881318,12897.86099
13.67273887,14066.32972
14.85876542,15173.54807
16.24406453,16396.19982
17.62903605,17632.98628
20.19957007,19997.01524
21.79005751,21079.83441
23.17842174,22170.22573
24.56847063,23187.9243
25.9575368,24248.02697
27.34914165,25198.58571
28.74123785,26127.94239
30.33323445,27145.64095
31.92392077,28219.87833
36.44276709,30749.99005
38.60727646,31753.55392
40.80659029,32707.64633
43.42842198,33729.5853
47.11766118,34877.32313
53.53674871,36743.10384
57.96059935,37562.91658
62.38969113,38156.57408
67.62919435,38637.15396
73.48010944,38877.4439
85.80401243,38657.71352
90.25275849,38403.28888
95.24312883,38015.22705
99.15614689,37640.01496
103.6093598,37192.84437
107.0501094,36863.24881
113.3267927,36159.72613
117.7818818,35631.60225
121.8322018,35141.17091
126.6921492,34571.49957
131.1476849,34024.1011
135.6033993,33468.99279
140.058399,32944.72383
144.514024,32393.47044
148.9692024,31861.49164
153.4241128,31341.0776
157.8789338,30824.51848
162.3338441,30304.10444
166.7881291,29810.67483
171.2425928,29309.53538
175.6964311,28835.38037
180.1498227,28380.49995
184.6034824,27914.05477
189.0570526,27451.46451
193.5095509,27035.13328
197.9623171,26607.23729
202.4150834,26179.3413
206.8677603,25755.30023
211.3198119,25358.24359
215.7715061,24976.60663
220.2231109,24598.82459
224.6745371,24228.75238
229.125606,23874.09985
233.5768535,23511.73748
238.027565,23172.50462
242.4782764,22833.27177
246.9282732,22524.87826
251.3786274,22201.06508
255.8284455,21900.38141
260.2787103,21580.42315
264.7285284,21279.73948
269.1777211,21006.04025
271.6045779,20855.69841
